Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	RefInt_/project/hanigan/Data/Proteomics/09242025_B/Replicate_2/fragpipe_output
P32322	1	PYCR1	0.9745	19.210840994100447	18.837770563876337	NA	18.931574958135464	19.616483084540036	20.401649232231414	18.388794424498016	17.973673921233146	19.87442940208653	20.098164626891556	20.585551857030534	19.210840994100447
P35232	15	PHB1	1.0	26.14625668672909	23.10695599123421	24.78714073736559	24.408739737549762	25.575570749829367	26.059006516185327	24.157528822497703	25.675682649033547	27.225496841621936	27.322922289200577	27.290661094628696	26.14625668672909
P35527	6	KRT9	1.0	25.27448105452177	24.126452655353884	27.416556800544264	27.169412606821506	28.479562840323645	26.74599689726462	24.473782520405408	27.654367287290704	25.52831019089289	25.337297430050484	25.586756936241652	25.27448105452177
P35613	2	BSG	0.9949	21.324594440926784	21.71113389462345	NA	21.20457554805162	21.462063771849476	20.98776660253234	21.55446413234627	NA	20.653029070387408	20.455352756630777	20.400910588995536	21.324594440926784
P35908	7	KRT2	1.0	24.04669543666496	23.79077366266862	26.055848525761345	24.765595412233417	26.770458368545334	25.43203898842827	23.784499462532988	26.54222436819385	23.945018568029848	24.1977807998645	23.82810938343176	24.04669543666496
P36542	2	ATP5F1C	0.9909	20.408194568858313	19.8215246775006	NA	20.544197855857504	20.706844248495184	19.94546112247142	20.12795406970203	21.54625007507006	20.64578683465927	20.537368280083058	20.68896360979295	20.408194568858313
P36578	1	RPL4	0.9718	20.746970925879463	19.575269130736775	NA	19.874309761217454	NA	20.99503917568619	20.486345104308278	NA	21.15764100108171	21.59183817330388	21.81708806026052	20.746970925879463
P36776	1	LONP1	0.9913	20.613367027777233	20.97358514170255	21.22327451625126	20.34127326520059	NA	20.77783503279329	20.764715747865978	NA	20.693049018704414	20.2544018077969	20.036209091602423	20.613367027777233
P36957	8	DLST	0.9975	25.821948038437043	24.830010882646864	24.760207821353784	24.99024303623278	24.604952648210116	25.25089550679496	24.71148685498083	26.250236852018585	26.076049121588074	28.671077601035012	25.75812033330561	25.821948038437043
P37837	2	TALDO1	0.9699	22.128060686480755	22.099562832359993	NA	21.903723927564705	21.47675899098242	21.86817659848043	22.355832435641513	NA	21.93375541715433	21.188144745645317	22.224551659411702	22.128060686480755
P38159	8	RBMX	0.9966	24.503033260162745	24.06150373135845	24.42170656818153	24.124418252760567	24.716505118612073	23.289323082188123	25.771296341378566	22.616027196153222	23.487355957962798	23.484334893819803	23.549723716477367	24.503033260162745
P38646	13	HSPA9	1.0	26.107370405490673	26.007552114509355	25.502181771393793	25.272529325818308	26.779435081606483	26.67145508152301	25.82546739652249	24.507128720083774	26.78908117776456	26.291295860102256	26.578132604631264	26.107370405490673
P39019	1	RPS19	0.988	19.134339578622388	18.890527203169004	NA	18.445761053907628	19.878227039170344	18.798485677747177	19.324937529479108	17.985529590558425	19.943290176372567	19.69944736853239	20.143131131793012	19.134339578622388
P39023	2	RPL3	0.9832	21.89713345532582	21.963751041250116	NA	22.642407080976312	NA	21.431333066920814	21.897567210642556	NA	21.25528644841704	21.284868944993704	21.724364270810142	21.89713345532582
P40227	1	CCT6A	0.9994	18.732095456683865	18.79357464440494	NA	18.790887924682696	18.470787486185817	18.779032851758274	18.86343141700597	NA	18.471545217575045	19.281237750423543	19.007329904848763	18.732095456683865
P40926	1	MDH2	0.998	20.72407696698098	21.079384792523342	NA	20.34619984138115	21.287458858345705	21.316903607561024	20.586099669997143	20.474782286638188	21.079029161654603	20.68788181779883	21.15110174394364	20.72407696698098
P40939	7	HADHA	0.9998	24.51617745288108	23.404818342977624	NA	23.95906276151855	23.359211497950255	23.660397806112243	23.494836328946537	24.18685767676469	25.809636871753625	26.583456880940208	25.2113115435962	24.51617745288108
P42704	4	LRPPRC	0.9997	21.642523559220738	21.695727900954616	NA	21.51017631975304	21.305971499111568	21.939781193949592	21.59979618853856	20.479387624918083	22.194662277535034	21.9888417813233	21.326432783519255	21.642523559220738
P42766	1	RPL35	0.9763	21.979565588219607	21.270418488508657	NA	21.01895376450171	19.818326534673684	22.28321782202697	22.02659911693944	20.603026403453676	23.209278499238998	23.079686844201536	23.23558714768193	21.979565588219607
P43686	1	PSMC4	0.9892	19.811438197639227	19.59416254469709	NA	20.063018196424245	18.784435128870353	19.624068665784517	20.07240437016642	NA	20.62646497460781	20.085118568984036	19.48202052438051	19.811438197639227
P43897	2	TSFM	0.9935	19.41514068517919	19.35385357618506	NA	20.153841140009753	19.046705722929705	20.108006111753085	18.73190413896336	NA	19.569181704903297	19.59789855156022	18.71288579316448	19.41514068517919
P45880	5	VDAC2	0.9999	24.70505396548608	24.114598328996458	24.296774399153577	24.06154747335132	24.772129199290962	26.546039925182424	23.96005564553442	24.35587940073002	24.91343306241667	24.400824773677087	26.416742821123574	24.70505396548608
P46778	1	RPL21	0.9912	21.09901577952289	20.76780604981696	NA	21.131874462494512	NA	21.54697250357742	20.598039000030752	NA	20.586635484777688	19.57303657011671	22.445876196949094	21.09901577952289
P46779	1	RPL28	0.9808	18.77249157952482	18.138545473689618	20.12086159778489	NA	NA	19.35132083435403	18.222448680388357	NA	18.68463127631266	19.191015048014446	19.580486938108827	18.77249157952482
P47914	1	RPL29	0.9627	17.42045551064393	17.675472559786567	17.21119417679005	17.377664995600952	15.824399636736791	17.36201808154665	17.56810469460197	16.861561183849833	18.2713568025099	17.21846280397587	18.02461383365316	17.42045551064393
P48643	2	CCT5	1.0	18.784972490429762	19.07343956464398	NA	18.812198748878362	18.075338216508946	18.349053480760304	19.074795372763337	16.624036653861342	18.904005647549354	19.31681110036558	17.929134496672475	18.784972490429762
P49207	1	RPL34	0.9864	20.643509431081366	20.047359658563156	NA	20.145387255176313	NA	22.23646111313131	20.299547665936217	NA	19.436918485424435	17.3380671113303	22.028649505513798	20.643509431081366
P49257	1	LMAN1	0.9225	20.731272951564307	20.7322733227165	21.109181404407465	21.07366536377924	21.66495735474535	20.944924122820428	20.775059263804312	NA	21.31149221220068	21.32910132470116	21.48661613765622	20.731272951564307
P49327	1	FASN	0.9739	18.047744325909772	18.525205473265355	NA	18.385121624507104	18.945319338992807	17.59202605474819	18.071803069989933	19.51935831764898	17.957577387021786	18.848166535839827	17.74611915388677	18.047744325909772
P49411	2	TUFM	0.9885	22.397581346931943	22.084063679905967	22.81049333113598	22.56915294217965	23.29294467855225	23.523490910284703	22.584049468625643	23.331717791359438	23.08094887671649	23.241844274055488	22.78831373927829	22.397581346931943
P49590	2	HARS2	0.9775	19.86289214947991	19.855936378319708	NA	20.022532750730036	19.8851739577839	20.495256064939994	19.852732302228567	NA	19.75791079217877	19.877959693619744	19.914265241336313	19.86289214947991
